policy,req_valid,req_ready,be_ready,be_valid,be_done,occ_flat
x,x,0,x,0,x,x
0,0,0,0,0,0,x
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,1,1,1,1,0
0,1,0,0,0,0,1
0,0,0,0,0,1,0
0,0,1,1,0,0,0
0,0,1,1,0,0,0
0,1,1,0,1,1,0
0,0,1,1,0,1,0
0,1,1,0,0,1,0
0,1,1,1,1,0,1
0,0,1,1,0,1,1
0,0,1,0,0,0,0
0,1,1,1,1,1,0
0,1,1,0,0,0,1
0,1,1,1,1,1,1
0,0,1,0,0,0,0
0,0,1,1,0,1,0
0,1,1,1,1,1,0
0,0,1,1,0,0,0
0,0,0,0,0,0,0
0,0,1,1,0,1,0
0,0,1,0,0,1,0
0,1,1,1,0,0,0
0,0,1,0,0,0,1
0,1,1,0,0,0,1
0,1,1,1,1,1,1
0,1,1,1,0,0,1
0,1,1,0,0,1,1
0,1,1,1,1,1,1
0,0,1,1,0,0,0
0,1,1,0,0,1,0
0,1,1,0,1,1,1
0,1,0,0,0,0,1
0,1,1,1,1,1,1
0,0,1,1,0,0,0
0,1,1,0,0,0,0
0,0,1,1,0,0,1
0,1,1,0,0,1,0
0,1,1,1,1,0,1
0,1,1,0,1,1,1
0,1,1,0,0,0,0
0,1,1,1,1,1,0
0,0,1,0,0,1,0
0,0,1,1,0,0,0
0,0,1,0,0,1,0
0,1,1,1,1,0,0
0,1,1,0,1,1,0
0,1,1,0,0,1,1
0,1,1,1,1,0,0
0,1,1,0,0,0,1
0,0,1,1,0,1,1
0,0,1,1,0,0,0
0,0,1,1,0,1,0
0,1,1,0,0,1,0
0,1,1,1,1,0,1
0,1,1,1,0,1,1
0,1,1,1,1,0,0
0,1,1,0,0,1,1
0,1,1,0,1,0,0
0,1,1,1,1,0,1
0,0,1,0,0,0,1
0,0,1,0,0,1,1
0,1,1,0,0,0,0
0,0,1,1,0,1,1
0,0,1,0,0,0,0
0,1,1,1,1,0,0
0,1,1,0,1,0,0
0,1,1,0,0,1,1
0,0,1,0,0,0,0
0,0,1,1,0,0,0
0,0,1,1,0,0,0
0,1,0,0,0,1,0
0,1,1,1,1,1,0
0,0,0,0,0,0,0
0,1,1,1,1,0,0
0,1,1,0,0,1,1
0,1,1,0,1,1,1
0,0,1,1,0,1,0
0,0,1,0,0,0,0
0,0,1,1,0,0,0
0,1,1,1,0,1,0
0,1,1,0,0,0,1
0,0,1,1,0,1,1
0,0,1,1,0,0,0
0,0,1,0,0,1,0
0,0,1,1,0,0,0
0,0,1,0,0,0,0
0,0,1,1,0,1,0
0,0,1,0,0,0,0
0,0,1,0,0,1,0
0,0,0,0,0,1,0
0,1,1,1,1,0,0
0,0,1,0,0,0,1
0,1,1,0,1,1,0
0,0,0,0,0,0,1
0,1,0,0,0,1,0
0,0,1,1,0,1,0
0,1,1,0,1,1,0
0,0,0,0,0,0,0
0,1,1,1,1,1,0
0,1,0,0,0,0,0
0,0,1,1,0,1,0
0,0,1,1,0,0,0
0,1,1,0,1,1,0
0,0,1,1,0,0,0
0,0,1,0,0,1,0
0,0,1,1,0,1,0
0,1,1,0,0,0,0
0,0,1,1,0,0,0
0,0,0,0,0,0,0
0,1,1,1,1,0,0
0,1,1,1,1,1,0
0,1,1,0,1,1,1
0,0,0,0,0,0,0
0,1,1,1,1,1,0
0,0,1,1,0,0,0
0,0,1,1,0,1,0
0,0,1,1,0,0,0
0,0,1,0,0,1,0
0,1,1,0,1,0,0
0,0,1,0,0,1,0
0,1,1,1,1,0,0
