time_ns,sample,mode,a,b,valid_in,clear,acc,sat_flag,fp_flag
45,0,0,0,0,0,1,0,0,0
65,1,0,128,128,1,0,16384,0,0
85,2,0,128,127,1,0,128,0,0
105,3,0,128,0,1,0,128,0,0
125,4,0,128,1,1,0,0,0,0
145,5,0,128,255,1,0,128,0,0
165,6,0,128,66,1,0,4294958976,0,0
185,7,0,127,128,1,0,4294942720,0,0
205,8,0,127,127,1,0,4294958849,0,0
225,9,0,127,0,1,0,4294958849,0,0
245,10,0,127,1,1,0,4294958976,0,0
265,11,0,127,255,1,0,4294958849,0,0
285,12,0,127,66,1,0,4294967231,0,0
305,13,0,0,128,1,0,4294967231,0,0
325,14,0,0,127,1,0,4294967231,0,0
345,15,0,0,0,1,0,4294967231,0,0
365,16,0,0,1,1,0,4294967231,0,0
385,17,0,0,255,1,0,4294967231,0,0
405,18,0,0,66,1,0,4294967231,0,0
425,19,0,1,128,1,0,4294967103,0,0
445,20,0,1,127,1,0,4294967230,0,0
465,21,0,1,0,1,0,4294967230,0,0
485,22,0,1,1,1,0,4294967231,0,0
505,23,0,1,255,1,0,4294967230,0,0
525,24,0,1,66,1,0,0,0,0
545,25,0,255,128,1,0,128,0,0
565,26,0,255,127,1,0,1,0,0
585,27,0,255,0,1,0,1,0,0
605,28,0,255,1,1,0,0,0,0
625,29,0,255,255,1,0,1,0,0
645,30,0,255,66,1,0,4294967231,0,0
665,31,0,66,128,1,0,4294958783,0,0
685,32,0,66,127,1,0,4294967165,0,0
705,33,0,66,0,1,0,4294967165,0,0
725,34,0,66,1,1,0,4294967231,0,0
745,35,0,66,255,1,0,4294967165,0,0
765,36,0,66,66,1,0,4225,0,0
785,37,0,127,127,1,0,20354,0,0
805,38,0,127,127,1,0,36483,0,0
825,39,0,127,127,1,0,52612,0,0
845,40,0,127,127,1,0,68741,0,0
865,41,0,127,127,1,0,84870,0,0
885,42,0,127,127,1,0,100999,0,0
905,43,0,127,127,1,0,117128,0,0
925,44,0,127,127,1,0,133257,0,0
945,45,0,127,127,1,0,149386,0,0
965,46,0,127,127,1,0,165515,0,0
985,47,0,127,127,1,0,181644,0,0
1005,48,0,127,127,1,0,197773,0,0
1025,49,0,127,127,1,0,213902,0,0
1045,50,0,127,127,1,0,230031,0,0
1065,51,0,127,127,1,0,246160,0,0
1085,52,0,127,127,1,0,262289,0,0
1105,53,0,127,127,1,0,278418,0,0
1125,54,0,127,127,1,0,294547,0,0
1145,55,0,127,127,1,0,310676,0,0
1165,56,0,127,127,1,0,326805,0,0
1185,57,0,127,127,1,0,342934,0,0
1205,58,0,127,127,1,0,359063,0,0
1225,59,0,127,127,1,0,375192,0,0
1245,60,0,127,127,1,0,391321,0,0
1265,61,0,127,127,1,0,407450,0,0
1285,62,0,127,127,1,0,423579,0,0
1305,63,0,127,127,1,0,439708,0,0
1325,64,0,127,127,1,0,455837,0,0
1345,65,0,127,127,1,0,471966,0,0
1365,66,0,127,127,1,0,488095,0,0
1385,67,0,127,127,1,0,504224,0,0
1405,68,0,127,127,1,0,520353,0,0
1425,69,0,127,127,1,0,536482,0,0
1445,70,0,127,127,1,0,552611,0,0
1465,71,0,127,127,1,0,568740,0,0
1485,72,0,127,127,1,0,584869,0,0
1505,73,0,127,127,1,0,600998,0,0
1525,74,0,127,127,1,0,617127,0,0
1545,75,0,127,127,1,0,633256,0,0
1565,76,0,127,127,1,0,649385,0,0
1585,77,0,127,127,1,0,665514,0,0
1605,78,0,127,127,1,0,681643,0,0
1625,79,0,127,127,1,0,697772,0,0
1645,80,0,127,127,1,0,713901,0,0
5645,280,0,127,127,1,0,3939701,0,0
9665,481,0,127,127,1,0,7181630,0,0
13665,681,0,127,127,1,0,10407430,0,0
17665,881,0,127,127,1,0,13633230,0,0
21665,1081,0,127,127,1,0,16859030,0,0
25685,1282,0,127,127,1,0,20100959,0,0
29685,1482,0,127,127,1,0,23326759,0,0
33685,1682,0,127,127,1,0,26552559,0,0
37705,1883,0,127,127,1,0,29794488,0,0
41705,2083,0,127,127,1,0,33020288,0,0
45705,2283,0,127,127,1,0,36246088,0,0
49725,2484,0,127,127,1,0,39488017,0,0
53725,2684,0,127,127,1,0,42713817,0,0
57725,2884,0,127,127,1,0,45939617,0,0
61725,3084,0,127,127,1,0,49165417,0,0
65745,3285,0,127,127,1,0,52407346,0,0
69745,3485,0,127,127,1,0,55633146,0,0
73745,3685,0,127,127,1,0,58858946,0,0
77765,3886,0,127,127,1,0,62100875,0,0
81765,4086,0,127,127,1,0,65326675,0,0
85765,4286,0,127,127,1,0,68552475,0,0
89785,4487,0,127,127,1,0,71794404,0,0
93785,4687,0,127,127,1,0,75020204,0,0
97785,4887,0,127,127,1,0,78246004,0,0
101785,5087,0,127,127,1,0,81471804,0,0
105805,5288,0,127,127,1,0,84713733,0,0
109805,5488,0,127,127,1,0,87939533,0,0
113805,5688,0,127,127,1,0,91165333,0,0
117825,5889,0,127,127,1,0,94407262,0,0
121825,6089,0,127,127,1,0,97633062,0,0
125825,6289,0,127,127,1,0,100858862,0,0
129825,6489,0,127,127,1,0,104084662,0,0
133845,6690,0,127,127,1,0,107326591,0,0
137845,6890,0,127,127,1,0,110552391,0,0
141845,7090,0,127,127,1,0,113778191,0,0
145865,7291,0,127,127,1,0,117020120,0,0
149865,7491,0,127,127,1,0,120245920,0,0
153865,7691,0,127,127,1,0,123471720,0,0
157885,7892,0,127,127,1,0,126713649,0,0
161885,8092,0,127,127,1,0,129939449,0,0
165885,8292,0,127,127,1,0,133165249,0,0
169885,8492,0,127,127,1,0,136391049,0,0
173905,8693,0,127,127,1,0,139632978,0,0
177905,8893,0,127,127,1,0,142858778,0,0
181905,9093,0,127,127,1,0,146084578,0,0
185925,9294,0,127,127,1,0,149326507,0,0
189925,9494,0,127,127,1,0,152552307,0,0
193925,9694,0,127,127,1,0,155778107,0,0
197945,9895,0,127,127,1,0,159020036,0,0
201945,10095,0,127,127,1,0,162245836,0,0
205945,10295,0,127,127,1,0,165471636,0,0
209945,10495,0,127,127,1,0,168697436,0,0
213965,10696,0,127,127,1,0,171939365,0,0
217965,10896,0,127,127,1,0,175165165,0,0
221965,11096,0,127,127,1,0,178390965,0,0
225985,11297,0,127,127,1,0,181632894,0,0
229985,11497,0,127,127,1,0,184858694,0,0
233985,11697,0,127,127,1,0,188084494,0,0
237985,11897,0,127,127,1,0,191310294,0,0
242005,12098,0,127,127,1,0,194552223,0,0
246005,12298,0,127,127,1,0,197778023,0,0
250005,12498,0,127,127,1,0,201003823,0,0
254025,12699,0,127,127,1,0,204245752,0,0
258025,12899,0,127,127,1,0,207471552,0,0
262025,13099,0,127,127,1,0,210697352,0,0
266045,13300,0,127,127,1,0,213939281,0,0
270045,13500,0,127,127,1,0,217165081,0,0
274045,13700,0,127,127,1,0,220390881,0,0
278045,13900,0,127,127,1,0,223616681,0,0
282065,14101,0,127,127,1,0,226858610,0,0
286065,14301,0,127,127,1,0,230084410,0,0
290065,14501,0,127,127,1,0,233310210,0,0
294085,14702,0,127,127,1,0,236552139,0,0
298085,14902,0,127,127,1,0,239777939,0,0
302085,15102,0,127,127,1,0,243003739,0,0
306105,15303,0,127,127,1,0,246245668,0,0
310105,15503,0,127,127,1,0,249471468,0,0
314105,15703,0,127,127,1,0,252697268,0,0
318105,15903,0,127,127,1,0,255923068,0,0
322125,16104,0,127,127,1,0,259164997,0,0
326125,16304,0,127,127,1,0,262390797,0,0
330125,16504,0,127,127,1,0,265616597,0,0
334145,16705,0,127,127,1,0,268858526,0,0
338145,16905,0,127,127,1,0,272084326,0,0
342145,17105,0,127,127,1,0,275310126,0,0
346145,17305,0,127,127,1,0,278535926,0,0
350165,17506,0,127,127,1,0,281777855,0,0
354165,17706,0,127,127,1,0,285003655,0,0
358165,17906,0,127,127,1,0,288229455,0,0
362185,18107,0,127,127,1,0,291471384,0,0
366185,18307,0,127,127,1,0,294697184,0,0
370185,18507,0,127,127,1,0,297922984,0,0
374205,18708,0,127,127,1,0,301164913,0,0
378205,18908,0,127,127,1,0,304390713,0,0
382205,19108,0,127,127,1,0,307616513,0,0
386205,19308,0,127,127,1,0,310842313,0,0
390225,19509,0,127,127,1,0,314084242,0,0
394225,19709,0,127,127,1,0,317310042,0,0
398225,19909,0,127,127,1,0,320535842,0,0
402245,20110,0,127,127,1,0,323777771,0,0
406245,20310,0,127,127,1,0,327003571,0,0
410245,20510,0,127,127,1,0,330229371,0,0
414265,20711,0,127,127,1,0,333471300,0,0
418265,20911,0,127,127,1,0,336697100,0,0
422265,21111,0,127,127,1,0,339922900,0,0
426265,21311,0,127,127,1,0,343148700,0,0
430285,21512,0,127,127,1,0,346390629,0,0
434285,21712,0,127,127,1,0,349616429,0,0
438285,21912,0,127,127,1,0,352842229,0,0
442305,22113,0,127,127,1,0,356084158,0,0
446305,22313,0,127,127,1,0,359309958,0,0
450305,22513,0,127,127,1,0,362535758,0,0
454305,22713,0,127,127,1,0,365761558,0,0
458325,22914,0,127,127,1,0,369003487,0,0
462325,23114,0,127,127,1,0,372229287,0,0
466325,23314,0,127,127,1,0,375455087,0,0
470345,23515,0,127,127,1,0,378697016,0,0
474345,23715,0,127,127,1,0,381922816,0,0
478345,23915,0,127,127,1,0,385148616,0,0
482365,24116,0,127,127,1,0,388390545,0,0
486365,24316,0,127,127,1,0,391616345,0,0
490365,24516,0,127,127,1,0,394842145,0,0
494365,24716,0,127,127,1,0,398067945,0,0
498385,24917,0,127,127,1,0,401309874,0,0
502385,25117,0,127,127,1,0,404535674,0,0
506385,25317,0,127,127,1,0,407761474,0,0
510405,25518,0,127,127,1,0,411003403,0,0
514405,25718,0,127,127,1,0,414229203,0,0
518405,25918,0,127,127,1,0,417455003,0,0
522425,26119,0,127,127,1,0,420696932,0,0
526425,26319,0,127,127,1,0,423922732,0,0
530425,26519,0,127,127,1,0,427148532,0,0
534425,26719,0,127,127,1,0,430374332,0,0
538445,26920,0,127,127,1,0,433616261,0,0
542445,27120,0,127,127,1,0,436842061,0,0
546445,27320,0,127,127,1,0,440067861,0,0
550465,27521,0,127,127,1,0,443309790,0,0
554465,27721,0,127,127,1,0,446535590,0,0
558465,27921,0,127,127,1,0,449761390,0,0
562465,28121,0,127,127,1,0,452987190,0,0
566485,28322,0,127,127,1,0,456229119,0,0
570485,28522,0,127,127,1,0,459454919,0,0
574485,28722,0,127,127,1,0,462680719,0,0
578505,28923,0,127,127,1,0,465922648,0,0
582505,29123,0,127,127,1,0,469148448,0,0
586505,29323,0,127,127,1,0,472374248,0,0
590525,29524,0,127,127,1,0,475616177,0,0
594525,29724,0,127,127,1,0,478841977,0,0
598525,29924,0,127,127,1,0,482067777,0,0
602525,30124,0,127,127,1,0,485293577,0,0
606545,30325,0,127,127,1,0,488535506,0,0
610545,30525,0,127,127,1,0,491761306,0,0
614545,30725,0,127,127,1,0,494987106,0,0
618565,30926,0,127,127,1,0,498229035,0,0
622565,31126,0,127,127,1,0,501454835,0,0
626565,31326,0,127,127,1,0,504680635,0,0
630585,31527,0,127,127,1,0,507922564,0,0
634585,31727,0,127,127,1,0,511148364,0,0
638585,31927,0,127,127,1,0,514374164,0,0
642585,32127,0,127,127,1,0,517599964,0,0
646605,32328,0,127,127,1,0,520841893,0,0
650605,32528,0,127,127,1,0,524067693,0,0
654605,32728,0,127,127,1,0,527293493,0,0
658625,32929,0,127,127,1,0,530535422,0,0
662625,33129,0,127,127,1,0,533761222,0,0
666625,33329,0,127,127,1,0,536987022,0,0
670625,33529,0,127,127,1,0,540212822,0,0
674645,33730,0,127,127,1,0,543454751,0,0
678645,33930,0,127,127,1,0,546680551,0,0
682645,34130,0,127,127,1,0,549906351,0,0
686665,34331,0,127,127,1,0,553148280,0,0
690665,34531,0,127,127,1,0,556374080,0,0
694665,34731,0,127,127,1,0,559599880,0,0
698685,34932,0,127,127,1,0,562841809,0,0
702685,35132,0,127,127,1,0,566067609,0,0
706685,35332,0,127,127,1,0,569293409,0,0
710685,35532,0,127,127,1,0,572519209,0,0
714705,35733,0,127,127,1,0,575761138,0,0
