time_ns,sample,rst,start,busy,done,cycle_count,pe_active_hex,active_count,c00,c03,c30,c33
5,0,1,0,0,0,0,0,0,0,0,0,0
15,1,1,0,0,0,0,0,0,0,0,0,0
25,2,1,0,0,0,0,0,0,0,0,0,0
35,3,0,0,0,0,0,0,0,0,0,0,0
45,4,0,1,1,0,0,0,0,0,0,0,0
55,5,0,0,1,0,1,1,1,0,0,0,0
65,6,0,0,1,0,2,19,3,0,0,0,0
75,7,0,0,1,0,3,311,6,0,0,0,0
85,8,0,0,1,0,4,4991,10,0,0,0,0
95,9,0,0,1,0,5,14334,12,0,0,0,0
105,10,0,0,1,0,6,32748,12,0,0,0,0
115,11,0,0,1,0,7,65224,10,0,0,0,0
125,12,0,0,1,0,8,60544,6,0,0,0,0
135,13,0,0,1,0,9,51200,3,0,0,0,0
145,14,0,0,0,0,9,32768,1,0,0,0,0
155,15,0,0,0,1,9,32768,1,0,0,0,0
165,16,0,1,1,0,0,0,0,0,0,0,0
175,17,0,0,1,0,1,1,1,-7,0,0,0
185,18,0,0,1,0,2,19,3,-7,0,0,0
195,19,0,0,1,0,3,311,6,-7,0,0,0
205,20,0,0,1,0,4,4991,10,-7,-4,0,0
215,21,0,0,1,0,5,14334,12,-7,-4,0,0
225,22,0,0,1,0,6,32748,12,-7,-4,0,0
235,23,0,0,1,0,7,65224,10,-7,-4,5,0
245,24,0,0,1,0,8,60544,6,-7,-4,5,0
255,25,0,0,1,0,9,51200,3,-7,-4,5,0
265,26,0,0,0,0,9,32768,1,-7,-4,5,8
275,27,0,0,0,1,9,32768,1,-7,-4,5,8
285,28,0,1,1,0,0,0,0,0,0,0,0
295,29,0,0,1,0,1,1,1,0,0,0,0
305,30,0,0,1,0,2,19,3,7,0,0,0
315,31,0,0,1,0,3,311,6,-120,0,0,0
325,32,0,0,1,0,4,4991,10,769,0,-16256,0
335,33,0,0,1,0,5,14334,12,769,-1,-15962,0
345,34,0,0,1,0,6,32748,12,769,63,-24090,0
355,35,0,0,1,0,7,65224,10,769,-64,-24041,8192
365,36,0,0,1,0,8,60544,6,769,-64,-24041,8150
375,37,0,0,1,0,9,51200,3,769,-64,-24041,12246
385,38,0,0,0,0,9,32768,1,769,-64,-24041,12239
395,39,0,0,0,1,9,32768,1,769,-64,-24041,12239
405,40,0,1,1,0,0,0,0,0,0,0,0
415,41,0,0,1,0,1,1,1,-10,0,0,0
425,42,0,0,1,0,2,19,3,-22,0,0,0
435,43,0,0,1,0,3,311,6,-2,0,0,0
445,44,0,0,1,0,4,4991,10,-14,20,6,0
455,45,0,0,1,0,5,14334,12,-14,8,26,0
465,46,0,0,1,0,6,32748,12,-14,28,14,0
475,47,0,0,1,0,7,65224,10,-14,34,34,-12
485,48,0,0,1,0,8,60544,6,-14,34,34,8
495,49,0,0,1,0,9,51200,3,-14,34,34,-4
505,50,0,0,0,0,9,32768,1,-14,34,34,-14
515,51,0,0,0,1,9,32768,1,-14,34,34,-14
525,52,0,1,1,0,0,0,0,0,0,0,0
535,53,0,0,1,0,1,1,1,0,0,0,0
545,54,0,0,1,0,2,19,3,-18,0,0,0
555,55,0,0,1,0,3,311,6,-22,0,0,0
565,56,0,0,1,0,4,4991,10,-14,0,56,0
575,57,0,0,1,0,5,14334,12,-14,30,50,0
585,58,0,0,1,0,6,32748,12,-14,42,47,0
595,59,0,0,1,0,7,65224,10,-14,54,43,48
605,60,0,0,1,0,8,60544,6,-14,54,43,58
615,61,0,0,1,0,9,51200,3,-14,54,43,67
625,62,0,0,0,0,9,32768,1,-14,54,43,61
635,63,0,0,0,1,9,32768,1,-14,54,43,61
645,64,0,1,1,0,0,0,0,0,0,0,0
655,65,0,0,1,0,1,1,1,-12,0,0,0
665,66,0,0,1,0,2,19,3,23,0,0,0
675,67,0,0,1,0,3,311,6,35,0,0,0
685,68,0,0,1,0,4,4991,10,56,24,-10,0
695,69,0,0,1,0,5,14334,12,56,-32,-10,0
705,70,0,0,1,0,6,32748,12,56,-18,-22,0
715,71,0,0,1,0,7,65224,10,56,17,-22,20
725,72,0,0,1,0,8,60544,6,56,17,-22,20
735,73,0,0,1,0,9,51200,3,56,17,-22,6
745,74,0,0,0,0,9,32768,1,56,17,-22,6
755,75,0,0,0,1,9,32768,1,56,17,-22,6
765,76,0,1,1,0,0,0,0,0,0,0,0
775,77,0,0,1,0,1,1,1,-24,0,0,0
785,78,0,0,1,0,2,19,3,11,0,0,0
795,79,0,0,1,0,3,311,6,29,0,0,0
805,80,0,0,1,0,4,4991,10,1,-18,8,0
815,81,0,0,1,0,5,14334,12,1,-18,-20,0
825,82,0,0,1,0,6,32748,12,1,-30,-56,0
835,83,0,0,1,0,7,65224,10,1,-72,-56,6
845,84,0,0,1,0,8,60544,6,1,-72,-56,6
855,85,0,0,1,0,9,51200,3,1,-72,-56,30
865,86,0,0,0,0,9,32768,1,1,-72,-56,30
875,87,0,0,0,1,9,32768,1,1,-72,-56,30
885,88,0,1,1,0,0,0,0,0,0,0,0
895,89,0,0,1,0,1,1,1,4,0,0,0
905,90,0,0,1,0,2,19,3,4,0,0,0
915,91,0,0,1,0,3,311,6,7,0,0,0
925,92,0,0,1,0,4,4991,10,16,0,4,0
935,93,0,0,1,0,5,14334,12,16,-64,4,0
945,94,0,0,1,0,6,32748,12,16,-70,28,0
955,95,0,0,1,0,7,65224,10,16,-67,49,0
965,96,0,0,1,0,8,60544,6,16,-67,49,24
975,97,0,0,1,0,9,51200,3,16,-67,49,-24
985,98,0,0,0,0,9,32768,1,16,-67,49,-17
995,99,0,0,0,1,9,32768,1,16,-67,49,-17
1005,100,0,1,1,0,0,0,0,0,0,0,0
1015,101,0,0,1,0,1,1,1,-10,0,0,0
1025,102,0,0,1,0,2,19,3,-52,0,0,0
1035,103,0,0,1,0,3,311,6,-72,0,0,0
1045,104,0,0,1,0,4,4991,10,-102,8,30,0
1055,105,0,0,1,0,5,14334,12,-102,8,-6,0
1065,106,0,0,1,0,6,32748,12,-102,38,2,0
1075,107,0,0,1,0,7,65224,10,-102,14,-13,-24
1085,108,0,0,1,0,8,60544,6,-102,14,-13,-24
1095,109,0,0,1,0,9,51200,3,-102,14,-13,-36
1105,110,0,0,0,0,9,32768,1,-102,14,-13,-48
1115,111,0,0,0,1,9,32768,1,-102,14,-13,-48
1125,112,0,1,1,0,0,0,0,0,0,0,0
1135,113,0,0,1,0,1,1,1,-18,0,0,0
1145,114,0,0,1,0,2,19,3,-16,0,0,0
1155,115,0,0,1,0,3,311,6,14,0,0,0
1165,116,0,0,1,0,4,4991,10,35,0,-12,0
1175,117,0,0,1,0,5,14334,12,35,8,-16,0
1185,118,0,0,1,0,6,32748,12,35,8,-34,0
1195,119,0,0,1,0,7,65224,10,35,20,-76,0
1205,120,0,0,1,0,8,60544,6,35,20,-76,-16
1215,121,0,0,1,0,9,51200,3,35,20,-76,-16
1225,122,0,0,0,0,9,32768,1,35,20,-76,-40
1235,123,0,0,0,1,9,32768,1,35,20,-76,-40
1245,124,0,1,1,0,0,0,0,0,0,0,0
1255,125,0,0,1,0,1,1,1,9,0,0,0
1265,126,0,0,1,0,2,19,3,7,0,0,0
1275,127,0,0,1,0,3,311,6,-49,0,0,0
1285,128,0,0,1,0,4,4991,10,-64,15,-15,0
1295,129,0,0,1,0,5,14334,12,-64,15,-7,0
1305,130,0,0,1,0,6,32748,12,-64,-20,-31,0
1315,131,0,0,1,0,7,65224,10,-64,-35,9,-25
1325,132,0,0,1,0,8,60544,6,-64,-35,9,-25
1335,133,0,0,1,0,9,51200,3,-64,-35,9,-40
1345,134,0,0,0,0,9,32768,1,-64,-35,9,0
1355,135,0,0,0,1,9,32768,1,-64,-35,9,0
1365,136,0,1,1,0,0,0,0,0,0,0,0
1375,137,0,0,1,0,1,1,1,8,0,0,0
1385,138,0,0,1,0,2,19,3,29,0,0,0
1395,139,0,0,1,0,3,311,6,54,0,0,0
1405,140,0,0,1,0,4,4991,10,62,32,-2,0
1415,141,0,0,1,0,5,14334,12,62,18,4,0
1425,142,0,0,1,0,6,32748,12,62,18,-1,0
1435,143,0,0,1,0,7,65224,10,62,32,11,-8
1445,144,0,0,1,0,8,60544,6,62,32,11,-12
1455,145,0,0,1,0,9,51200,3,62,32,11,-12
1465,146,0,0,0,0,9,32768,1,62,32,11,9
1475,147,0,0,0,1,9,32768,1,62,32,11,9
1485,148,0,1,1,0,0,0,0,0,0,0,0
1495,149,0,0,1,0,1,1,1,-20,0,0,0
1505,150,0,0,1,0,2,19,3,44,0,0,0
1515,151,0,0,1,0,3,311,6,53,0,0,0
1525,152,0,0,1,0,4,4991,10,88,20,-16,0
1535,153,0,0,1,0,5,14334,12,88,-28,24,0
1545,154,0,0,1,0,6,32748,12,88,-16,48,0
1555,155,0,0,1,0,7,65224,10,88,-16,63,16
1565,156,0,0,1,0,8,60544,6,88,-16,63,-14
1575,157,0,0,1,0,9,51200,3,88,-16,63,18
1585,158,0,0,0,0,9,32768,1,88,-16,63,18
1595,159,0,0,0,1,9,32768,1,88,-16,63,18
1605,160,0,1,1,0,0,0,0,0,0,0,0
1615,161,0,0,1,0,1,1,1,0,0,0,0
1625,162,0,0,1,0,2,19,3,0,0,0,0
1635,163,0,0,1,0,3,311,6,-24,0,0,0
1645,164,0,0,1,0,4,4991,10,-49,0,32,0
1655,165,0,0,1,0,5,14334,12,-49,0,60,0
1665,166,0,0,1,0,6,32748,12,-49,6,64,0
1675,167,0,0,1,0,7,65224,10,-49,-9,99,-4
1685,168,0,0,1,0,8,60544,6,-49,-9,99,12
1695,169,0,0,1,0,9,51200,3,-49,-9,99,11
1705,170,0,0,0,0,9,32768,1,-49,-9,99,32
1715,171,0,0,0,1,9,32768,1,-49,-9,99,32
1725,172,0,1,1,0,0,0,0,0,0,0,0
1735,173,0,0,1,0,1,1,1,-30,0,0,0
1745,174,0,0,1,0,2,19,3,-2,0,0,0
1755,175,0,0,1,0,3,311,6,-5,0,0,0
1765,176,0,0,1,0,4,4991,10,-9,-48,-15,0
1775,177,0,0,1,0,5,14334,12,-9,-27,-7,0
1785,178,0,0,1,0,6,32748,12,-9,-24,17,0
1795,179,0,0,1,0,7,65224,10,-9,-27,-3,-24
1805,180,0,0,1,0,8,60544,6,-9,-27,-3,-18
1815,181,0,0,1,0,9,51200,3,-9,-27,-3,-42
1825,182,0,0,0,0,9,32768,1,-9,-27,-3,-57
1835,183,0,0,0,1,9,32768,1,-9,-27,-3,-57
1845,184,0,1,1,0,0,0,0,0,0,0,0
1855,185,0,0,1,0,1,1,1,4,0,0,0
1865,186,0,0,1,0,2,19,3,-4,0,0,0
1875,187,0,0,1,0,3,311,6,-6,0,0,0
1885,188,0,0,1,0,4,4991,10,-38,-12,4,0
1895,189,0,0,1,0,5,14334,12,-38,-4,-4,0
1905,190,0,0,1,0,6,32748,12,-38,-4,-7,0
1915,191,0,0,1,0,7,65224,10,-38,-12,41,-12
1925,192,0,0,1,0,8,60544,6,-38,-12,41,-4
1935,193,0,0,1,0,9,51200,3,-38,-12,41,-4
1945,194,0,0,0,0,9,32768,1,-38,-12,41,8
1955,195,0,0,0,1,9,32768,1,-38,-12,41,8
1965,196,0,1,1,0,0,0,0,0,0,0,0
1975,197,0,0,1,0,1,1,1,6,0,0,0
1985,198,0,0,1,0,2,19,3,6,0,0,0
1995,199,0,0,1,0,3,311,6,30,0,0,0
2005,200,0,0,1,0,4,4991,10,30,-8,-9,0
2015,201,0,0,1,0,5,14334,12,30,-48,-9,0
2025,202,0,0,1,0,6,32748,12,30,-72,-17,0
2035,203,0,0,1,0,7,65224,10,30,-72,-17,12
2045,204,0,0,1,0,8,60544,6,30,-72,-17,60
2055,205,0,0,1,0,9,51200,3,30,-72,-17,68
2065,206,0,0,0,0,9,32768,1,30,-72,-17,68
2075,207,0,0,0,1,9,32768,1,30,-72,-17,68
2085,208,0,1,1,0,0,0,0,0,0,0,0
2095,209,0,0,1,0,1,1,1,-42,0,0,0
2105,210,0,0,1,0,2,19,3,7,0,0,0
2115,211,0,0,1,0,3,311,6,0,0,0,0
2125,212,0,0,1,0,4,4991,10,-32,-24,49,0
2135,213,0,0,1,0,5,14334,12,-32,-17,49,0
2145,214,0,0,1,0,6,32748,12,-32,-20,-7,0
2155,215,0,0,1,0,7,65224,10,-32,8,-7,28
2165,216,0,0,1,0,8,60544,6,-32,8,-7,28
2175,217,0,0,1,0,9,51200,3,-32,8,-7,4
2185,218,0,0,0,0,9,32768,1,-32,8,-7,4
2195,219,0,0,0,1,9,32768,1,-32,8,-7,4
2205,220,0,1,1,0,0,0,0,0,0,0,0
2215,221,0,0,1,0,1,1,1,10,0,0,0
2225,222,0,0,1,0,2,19,3,-2,0,0,0
2235,223,0,0,1,0,3,311,6,-16,0,0,0
2245,224,0,0,1,0,4,4991,10,-8,15,4,0
2255,225,0,0,1,0,5,14334,12,-8,23,13,0
2265,226,0,0,1,0,6,32748,12,-8,16,11,0
2275,227,0,0,1,0,7,65224,10,-8,14,-13,6
2285,228,0,0,1,0,8,60544,6,-8,14,-13,0
2295,229,0,0,1,0,9,51200,3,-8,14,-13,-1
2305,230,0,0,0,0,9,32768,1,-8,14,-13,5
2315,231,0,0,0,1,9,32768,1,-8,14,-13,5
2325,232,0,1,1,0,0,0,0,0,0,0,0
2335,233,0,0,1,0,1,1,1,48,0,0,0
2345,234,0,0,1,0,2,19,3,48,0,0,0
2355,235,0,0,1,0,3,311,6,52,0,0,0
2365,236,0,0,1,0,4,4991,10,36,-64,6,0
2375,237,0,0,1,0,5,14334,12,36,-64,6,0
2385,238,0,0,1,0,6,32748,12,36,-56,-8,0
