Reading pref.tcl

# 2021.3_1

# do run.do
# 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:40:18 on Jul 08,2026
# vlog -source -lint load_balancer.sv 
# -- Compiling module load_balancer
# 
# Top level modules:
# 	load_balancer
# End time: 16:40:18 on Jul 08,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:40:18 on Jul 08,2026
# vlog -source -lint load_balancer_pkg.sv 
# -- Compiling package load_balancer_pkg
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# ** Note: (vlog-2286) load_balancer_pkg.sv(9): Using implicit +incdir+/pkgs/mentor/questa/2021.3_1/questasim/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# 
# Top level modules:
# 	--none--
# End time: 16:40:19 on Jul 08,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:40:19 on Jul 08,2026
# vlog -source -lint -sv load_balancer_sva.sva 
# -- Compiling module load_balancer_sva
# 
# Top level modules:
# 	load_balancer_sva
# End time: 16:40:19 on Jul 08,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:40:19 on Jul 08,2026
# vlog -source -lint load_balancer_bfm.sv 
# -- Compiling interface load_balancer_bfm
# -- Importing package load_balancer_pkg
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# 
# Top level modules:
# 	--none--
# End time: 16:40:20 on Jul 08,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:40:20 on Jul 08,2026
# vlog -source -lint top.sv 
# -- Compiling module top
# -- Importing package load_balancer_pkg
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# 
# Top level modules:
# 	top
# End time: 16:40:20 on Jul 08,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:40:20 on Jul 08,2026
# vlog -source -lint transaction.sv 
# ** Note: (vlog-2286) transaction.sv(2): Using implicit +incdir+/pkgs/mentor/questa/2021.3_1/questasim/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package transaction_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Importing package load_balancer_pkg
# 
# Top level modules:
# 	--none--
# End time: 16:40:21 on Jul 08,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:40:21 on Jul 08,2026
# vlog -source -lint sequence.sv 
# ** Note: (vlog-2286) sequence.sv(2): Using implicit +incdir+/pkgs/mentor/questa/2021.3_1/questasim/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package sequence_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Importing package load_balancer_pkg
# 
# Top level modules:
# 	--none--
# End time: 16:40:21 on Jul 08,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:40:21 on Jul 08,2026
# vlog -source -lint sequencer.sv 
# ** Note: (vlog-2286) sequencer.sv(2): Using implicit +incdir+/pkgs/mentor/questa/2021.3_1/questasim/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package sequencer_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Importing package load_balancer_pkg
# 
# Top level modules:
# 	--none--
# End time: 16:40:22 on Jul 08,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:40:22 on Jul 08,2026
# vlog -source -lint driver.sv 
# ** Note: (vlog-2286) driver.sv(2): Using implicit +incdir+/pkgs/mentor/questa/2021.3_1/questasim/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package driver_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Importing package load_balancer_pkg
# 
# Top level modules:
# 	--none--
# End time: 16:40:23 on Jul 08,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:40:23 on Jul 08,2026
# vlog -source -lint monitor.sv 
# ** Note: (vlog-2286) monitor.sv(2): Using implicit +incdir+/pkgs/mentor/questa/2021.3_1/questasim/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package monitor_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Importing package load_balancer_pkg
# 
# Top level modules:
# 	--none--
# End time: 16:40:23 on Jul 08,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:40:23 on Jul 08,2026
# vlog -source -lint agent.sv 
# ** Note: (vlog-2286) agent.sv(2): Using implicit +incdir+/pkgs/mentor/questa/2021.3_1/questasim/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package agent_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Importing package load_balancer_pkg
# 
# Top level modules:
# 	--none--
# End time: 16:40:24 on Jul 08,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
